subject,strategy,condition,l_length,pres_rate,fwd,bwd,asym
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.24534313725490195,0.27700786711371156,-0.0316647298588096
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.8884011519881085,0.03229166666666666,0.8561094853214418
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.9965277777777778,0.0,0.9965277777777778
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.4884326018808778,0.23928571428571427,0.24914688759516346
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.4014117826617827,0.2819525904203324,0.1194591922414503
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.37533783783783786,0.14351673101673101,0.23182110682110685
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.8331759906759907,0.13354166666666667,0.699634324009324
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.46014884262937655,0.115625,0.3445238426293765
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.34656593406593406,0.08869047619047618,0.25787545787545785
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.3968531468531469,0.33631431204960616,0.06053883480354068
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.5226550079491257,0.10869565217391304,0.4139593557752126
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.9061451014832163,0.0,0.9061451014832163
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.7027205531041848,0.022727272727272728,0.6799932803769121
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.597985347985348,0.0,0.597985347985348
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.5480392156862746,0.165,0.3830392156862745
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.6380860974610975,0.22707792207792207,0.41100817538317536
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.468230076293777,0.1028409090909091,0.3653891672028679
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.7943181818181818,0.36054421768707484,0.43377396413110697
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.48289634146341465,0.20146107646107647,0.2814352650023382
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.11202090592334495,0.11801470588235294,-0.005993799959007996
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,0.7473711965406318,0.02976190476190476,0.717609291778727
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,0.6133333811890225,0.22018716577540107,0.3931462154136214
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,0.4317140296979007,0.17700026581605527,0.2547137638818454
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,0.6819923978460564,0.12154150197628458,0.5604508958697718
A27T2Z568L69U1,prim,10-2,10.0,2000.0,0.7575413640032285,0.010869565217391304,0.7466717987858371
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,0.3802191881394468,0.13274198568316214,0.2474772024562846
A2BREH6STESM0G,rec,10-2,10.0,2000.0,0.29197184772275514,0.2930337206652996,-0.0010618729425444437
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.8824810606060606,0.019230769230769232,0.8632502913752913
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.7003107444596807,0.2621703853955375,0.4381403590641431
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.6839707530642724,0.3342838455296324,0.34968690753463993
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.6151247684428462,0.24059586247086248,0.3745289059719838
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.612473526977938,0.21741053064582477,0.3950629963321132
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.4111111111111111,0.16333333333333333,0.24777777777777776
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.7354402124110059,0.09870689655172414,0.6367333158592817
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.7607174156482789,0.18061885927739588,0.580098556370883
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.6393294605977985,0.25025062656641606,0.38907883403138244
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.5429532191402043,0.25498765939942414,0.2879655597407802
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.6279659019484601,0.32656218402426695,0.3014037179241932
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.7244435612082671,0.45238095238095233,0.27206260882731476
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.5746643905611297,0.0,0.5746643905611297
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.6303942064254767,0.27110149110149107,0.3592927153239856
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.7298780487804878,0.10606060606060606,0.6238174427198817
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.3090659340659341,0.17424242424242425,0.13482350982350985
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.43833501434737826,0.2568127608825283,0.18152225346484993
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.41963298139768734,0.14285714285714285,0.27677583854054444
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.47516398242082136,0.32047707648922874,0.15468690593159262
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.5190217186184928,0.1698442222738898,0.349177496344603
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.5110825435235599,0.23323534085491818,0.2778472026686417
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.921576432977508,0.0,0.921576432977508
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.7479636214180574,0.20586124401913874,0.5421023773989186
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.5437855304240511,0.1556513409961686,0.3881341894278825
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.4818062239986948,0.23892651888341543,0.2428797051152794
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.44237717631548334,0.39540284475950355,0.04697433155597981
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,0.37222222222222223,0.23128205128205126,0.14094017094017094
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,0.937037037037037,0.022727272727272728,0.9143097643097643
A489K1IFOM4JW,prim,10-2,10.0,2000.0,0.7957312912792707,0.0,0.7957312912792707
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,0.7069099378881987,0.10721062618595825,0.5996993117022404
A55MEA9LQASZH,rec,10-2,10.0,2000.0,0.6737935977066412,0.1354066985645933,0.5383868991420478
A5P12YJP805RG,rec,10-2,10.0,2000.0,0.48446275946275946,0.1996732026143791,0.28478955684838037
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,0.5773317935796939,0.3423965419501134,0.2349352516295805
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,0.4870813397129186,0.08888888888888889,0.39819245082402976
AEP8U373W5Q54,prim,10-2,10.0,2000.0,0.9291394114463967,0.041666666666666664,0.88747274477973
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,0.717579816017316,0.11822887257669867,0.5993509434406173
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,0.7069858904336312,0.010416666666666666,0.6965692237669646
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,1.0,0.0,1.0
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,0.4331847545219638,0.3655192034139403,0.06766555110802355
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,0.6346941116066546,0.2431818181818182,0.3915122934248364
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,0.5531640773020083,0.10101540616246499,0.4521486711395434
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,0.7574404761904762,0.2159072249589491,0.5415332512315271
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,0.8386123680241326,0.03333333333333333,0.8052790346907994
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,0.3064588453305851,0.11862527716186252,0.18783356816872254
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,0.5801969596532793,0.05422077922077922,0.5259761804325
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,0.8217678287920407,0.005813953488372093,0.8159538753036686
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,0.48965034383318545,0.19016290726817042,0.29948743656501503
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.24056550075171879,0.2853490314369975,-0.04478353068527874
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.26311288385657916,0.2582017770876467,0.004911106768932506
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.45805746242158835,0.012195121951219513,0.4458623404703689
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.2727086405657834,0.04421387790953008,0.22849476265625335
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,0.3731684981684982,0.17435897435897435,0.19880952380952382
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.44128728414442703,0.15960020371785077,0.2816870804265762
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.43551071817832276,0.021875,0.4136357181783228
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.2231973871899245,0.32565789473684215,-0.1024605075469176
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.18903355416513312,0.3451044867715182,-0.1560709326063851
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,0.3399560625165398,0.16810897435897434,0.17184708815756544
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.6140197156427055,0.04700854700854701,0.5670111686341585
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.2746376811594203,0.2595112898236932,0.015126391335727102
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,0.598799904605618,0.12554204048769266,0.47325786411792536
A1OW27AZS122X2,ns,20-1,20.0,1000.0,0.23179976851851852,0.08855845690952073,0.14324131160899778
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,0.8531941760728741,0.03767650834403081,0.8155176677288433
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,0.37267736486486486,0.33576066790352505,0.03691669696133984
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,0.4302662037037037,0.1650719378660555,0.26519426583764816
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,0.12495341614906832,0.1829806455092496,-0.0580272293601813
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,0.37724243474243474,0.2804601362596214,0.09678229848281338
A26M997VYVK0E6,prim,20-1,20.0,1000.0,0.25740426577718506,0.4595986568784817,-0.20219439110129667
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,0.6536050065322881,0.12812332386920094,0.5254816826630873
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,0.23414634146341465,0.03225806451612903,0.20188827694728562
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,0.6738990332975295,0.025,0.6488990332975295
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,0.28083949096880134,0.036518458393458395,0.2443210325753429
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,0.26568048751147344,0.21716512488612932,0.048515362625344116
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,0.25279931093884583,0.05448717948717949,0.19831213145166635
A2QY653X9531JP,ns,20-1,20.0,1000.0,0.0899582560296846,0.09647883067224257,-0.006520574642557973
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,0.5816666666666667,0.06363795518207283,0.5180287114845938
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,0.3425576184379001,0.050636304909560725,0.2919213135283394
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,0.2488483508384006,0.1311677125630614,0.11768063827533919
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,0.49992223400494873,0.0,0.49992223400494873
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,0.3374125874125874,0.013888888888888888,0.3235236985236985
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,0.41279989228358793,0.06937088274044796,0.34342900954314
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,0.5784228881425988,0.05731951871657754,0.5211033694260212
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,0.5587200622577981,0.13900135811900519,0.4197187041387929
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,0.6338642925512719,0.005208333333333333,0.6286559592179385
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,0.24603534698816004,0.10693003270704626,0.13910531428111378
A3026HLELYNW7U,rec,20-1,20.0,1000.0,0.30096504205174746,0.13653524621532942,0.164429795836418
A351P2O6QGTCS,rec,20-1,20.0,1000.0,0.29379038902848426,0.266000666000666,0.027789723027818264
A39R5EBK7W916X,ns,20-1,20.0,1000.0,0.27106227106227104,0.07352941176470588,0.19753285929756514
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,0.29379985754985755,0.017857142857142856,0.2759427146927147
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,0.5420122180451128,0.21070702109338044,0.3313051969517324
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,0.49272788770505666,0.04112388250319285,0.4516040052018638
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,0.28398255303881437,0.08339709030953271,0.20058546272928168
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,0.22416666666666668,0.1985539488320356,0.025612717834631066
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,0.5262787410044958,0.11005660617244062,0.4162221348320551
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,0.3492063492063492,0.2426424696585987,0.10656387954775048
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,0.28584558823529416,0.0,0.28584558823529416
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,0.3088065671072189,0.1328057459823452,0.1760008211248737
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,0.23152224599517227,0.26443994601889337,-0.0329177000237211
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,0.16422518363771144,0.12694613821138212,0.037279045426329316
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,0.441866048927408,0.0,0.441866048927408
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,0.16738863587846012,0.15601183517748235,0.011376800700977768
A50UY1556VDIA,ns,20-1,20.0,1000.0,0.17233154442456766,0.08836996336996336,0.0839615810546043
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,0.38396956437292934,0.22216344513791794,0.1618061192350114
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,0.3654027161489848,0.08485123681024044,0.2805514793387443
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,0.37255016761420734,0.044407277574800036,0.32814289003940733
