subject,strategy,condition,l_length,pres_rate,ncr,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10,tr_11,tr_12,tr_13,tr_14,tr_15,tr_16,tr_17,tr_18,tr_19,tr_20,tr_21,tr_22,tr_23,tr_24,tr_25,tr_26,tr_27
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,2,5821.9000000003725,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,4,6156.099999999628,4299.39999999851,6738.60000000149,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,5,4203.0250000059605,3337.6125000026077,5831.83333333147,9541.17500000447,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,6,4397.716428570955,4501.439047619079,5751.197857144329,7564.362619044796,13966.972857146657,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,7,4510.3687499989755,4540.034999997681,4491.254999997094,5096.876249999693,6427.917500006081,9178.761250000261,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,8,5357.8499999940395,5804.4000000059605,3479.7000000178814,4594.449999988079,3538.8499999940395,6913.25,5754.799999982119,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,3,4023.2000002861023,2924.800000190735,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,4,8172.500000000001,15877.450000047684,23948.399999856952,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,5,4616.52777768506,4020.783333440622,4020.0222222043412,4455.166666607062,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,6,4138.885000037526,4378.614999989855,3506.6100000361603,4767.171666682015,6897.733333478372,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,7,3560.283333390951,3984.11250004475,3990.987499941606,7685.466666701353,5545.916666664493,5832.47916671525,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,8,4357.950000009034,3587.7624999643303,5329.556250017718,4292.020833303532,5437.645833457044,4200.956249928335,11184.97083335882,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,9,3177.4500000001863,4482.800000000124,3634.03333333383,3667.649999999441,3541.2499999990687,4274.899999999751,4884.03333333383,3226.433333332961,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,6,3747.70000076294,3708.5999994277954,2750.3500003814697,2540.7000007629395,4262.249999523163,,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,7,4011.100000143051,3291.500000105964,3612.824999809265,4523.266666730245,3489.774999856949,4006.1111112170747,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,8,3607.6166665554047,3185.0566666444142,3496.3116667747495,3789.6983332792915,3702.094444619285,3577.5354167222977,3510.138889100817,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,9,3328.7916666666665,3549.5479168494544,4519.654166897139,3490.3520833452544,3875.7999999920526,3437.5354166428247,4689.850000143051,3776.2541666030884,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,10,4134.64791671435,4783.245833237966,3215.4937499960265,3603.5791667302447,3558.7187499403954,3666.072916845481,3827.218750278155,3692.789583404859,4266.083333233992,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,2,2294.600000023842,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,3,3191.633333325386,4332.066666672627,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,4,4303.191666672627,4013.6,3194.13333333532,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,5,3363.022222232488,3178.4604166653007,2913.3020833320916,3849.3354166696467,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,6,2913.956250000745,3270.6250000024834,2700.2937500029802,3328.174999985844,3489.7708333308497,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,7,3025.0499999970198,3326.0499999970198,3677.6500000208616,3766.199999988079,2834.5499999970198,2914.8499999791384,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,8,2193.0,2030.7000000178807,1759.2999999821186,3151.800000011921,2760.100000023842,3280.5,3286.800000011921,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,3,,1940.5999999046328,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,4,2212.350000023842,3034.3166666825614,6594.274999976158,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,5,4816.287500023842,4168.716666618983,3323.1999999582767,3854.04444442855,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,6,3693.4966666777927,4604.98333332936,2549.252083301544,3930.0222222142747,4489.712499976158,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,7,3055.2888889312744,3728.483333349228,5222.366666714351,12279.311111132303,3337.0000001192093,2578.444444550408,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,8,1959.600000023842,3553.2999999523163,7996.75,6284.899999976158,4493.149999976158,2740.9499999284744,1354.6000001430511,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,9,2099.6499999761586,3322.0666666825614,3652.966666618983,2469.0,2909.1333332856498,3636.9000000953674,4312.666666666667,3668.9333333174386,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,3,2043.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,4,1426.3333333333333,1274.0,3397.0,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,5,2309.6,3620.1,4232.145833333333,2612.7333333333336,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,6,2182.3333333333335,3097.8291666666664,2788.5833333333335,2822.429166666667,2797.895833333333,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,7,2261.65,3275.1777777777775,1792.75,3228.566666666667,3376.5833333333335,3149.5166666666664,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,4,1120.0,1114.5,1265.199999999255,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,5,,1273.9000000003723,,11079.799999999814,,,,,,,,,,,,,,,,,,,,,,,
