subject,strategy,condition,l_length,pres_rate,rot,irt
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,-3,4484.509999999093
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,-3,4169.88187497845
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,-3,3669.741249907017
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,-3,3356.556250010058
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,-3,4624.796458338202
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,-3,2570.2045454545455
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,-3,2284.820833333263
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,-3,7933.6755952309995
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,-3,3706.908333251874
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,-3,2568.2645202020203
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,-3,2745.6666667312384
A1NG504QI5LI62,prim,10-2,10.0,2000.0,-3,4317.714285714286
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,-3,3291.8888888888887
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,-3,2166.875
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,-3,2814.2401785732113
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,-3,3382.0920634920694
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,-3,4144.071428571428
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,-3,4355.242499998584
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,-3,2318.214116168755
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,-3,2482.9523809523807
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,-3,3654.4938988053727
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,-3,4845.919155844156
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,-3,3935.0565476190477
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,-3,5063.362103174603
A27T2Z568L69U1,prim,10-2,10.0,2000.0,-3,5091.040277777778
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,-3,3731.0875
A2BREH6STESM0G,rec,10-2,10.0,2000.0,-3,3426.843333329229
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,-3,5070.632648764622
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,-3,4829.174166560173
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,-3,2107.995833331719
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,-3,2845.486388888889
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,-3,3271.0537500004866
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,-3,3450.9772727248346
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,-3,5347.868035667271
A2M183CETUMR96,rec,10-2,10.0,2000.0,-3,4207.770031565965
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,-3,3914.3678472379634
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,-3,3321.694810606919
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,-3,2055.168333326839
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,-3,5351.803571428572
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,-3,5686.422500039637
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,-3,2371.325
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,-3,4544.878787878788
A33X52IN60MSOE,rec,10-2,10.0,2000.0,-3,5241.661666665723
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,-3,4490.031666669415
A349BBTU7L597J,prim,10-2,10.0,2000.0,-3,9034.874999955297
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,-3,2191.2937500067055
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,-3,6045.050000005624
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,-3,1324.107443202761
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,-3,6418.809523809524
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,-3,3763.9170201773295
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,-3,4903.275
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,-3,3491.514583336603
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,-3,4381.23071430342
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,-3,3815.3333333333335
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,-3,5471.25
A489K1IFOM4JW,prim,10-2,10.0,2000.0,-3,3913.14375
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,-3,2601.3611111111113
A55MEA9LQASZH,rec,10-2,10.0,2000.0,-3,6725.428819450239
A5P12YJP805RG,rec,10-2,10.0,2000.0,-3,1749.3559027698004
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,-3,2895.695535714073
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,-3,8483.75
AEP8U373W5Q54,prim,10-2,10.0,2000.0,-3,3187.431250035763
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,-3,4703.091765873016
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,-3,3863.1012193454962
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,-3,6367.558333357176
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,-3,6059.649999999969
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,-3,5005.038541669473
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,-3,4279.8694444444445
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,-3,1952.636349219415
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,-3,2355.4999999801316
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,-3,4700.676031735114
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,-3,5018.570089280483
