subject,strategy,condition,l_length,pres_rate,rot_7,rot_6,rot_5,rot_4,rot_3,rot_2,rot_1,rot_0
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,,,,,4484.509999999093,5098.432916667126,6997.241401515915,11073.864734849767
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,,,,,4169.88187497845,5566.075416745812,5026.028968230696,7830.83875002622
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,,,,,3669.741249907017,4120.0241072041645,3552.674702425798,3546.645833452543
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,,,,,3356.556250010058,2989.455952381827,3149.2569047538655,3703.077480158724
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,,,,,4624.796458338202,4547.223849184338,3463.970833311478,3387.0245238153707
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,,,,,2570.2045454545455,3061.568181818182,3239.9386363636363,3037.431818181818
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,,,,,2284.8208333332636,2724.2968750001064,8185.3172619045445,4693.700625000306
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,,,,,7933.6755952309995,5330.864732310885,5692.898015958923,8436.303750050069
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,,,,,3706.908333251874,4030.3000000218553,3862.5499999821186,3979.650000045697
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,,,,,2568.2645202020203,3872.2507575757572,7008.447222222222,14986.893055555556
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,,,,,2745.6666667312384,2902.818571400642,3046.6080357283354,2410.0785714026006
A1NG504QI5LI62,prim,10-2,10.0,2000.0,,,,,4317.714285714286,4119.045833333334,4515.569444444444,4032.0119047619046
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,,,,,3291.8888888888887,3700.75,6967.388888888888,3540.375
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,,,,,2166.875,3269.8999999910593,3395.4699999809263,10936.710000000396
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,,,,,2814.2401785732113,3094.2312499986065,3892.0300000002608,11196.731250000303
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,,,,,3382.0920634920694,3971.419545454564,6348.571249999986,9273.358750000016
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,,,,,4144.071428571428,3840.419047619048,3725.557738095238,4710.154166666667
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,,,,,4355.242499998584,3737.911010098691,6891.072752525672,5119.632222223183
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,,,,,2318.214116168755,2721.632083329372,3098.330404023264,4827.669829547578
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,,,,,2482.9523809523807,2197.440340909091,2289.7976190476193,2879.196428571429
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,,,,,3654.4938988053727,3836.925694445769,3876.6696428574623,3991.221279764991
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,,,,,4845.919155844156,5924.366477272727,5342.96507936508,5971.840909090909
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,,,,,3935.0565476190477,3652.761111111111,3310.2738095238096,3561.886904761905
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,,,,,5063.362103174603,5568.323412698413,5546.200694444445,6948.633928571428
A27T2Z568L69U1,prim,10-2,10.0,2000.0,,,,,5091.040277777778,5392.014880952381,6284.401785714286,5045.275568181818
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,,,,,3731.0874999999996,4045.3916666666664,4766.2555555555555,4402.067857142857
A2BREH6STESM0G,rec,10-2,10.0,2000.0,,,,,3426.843333329229,2954.877500001698,3243.2050000146264,3478.3795833331765
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,,,,,5070.632648764621,5149.361309480099,5881.9315970871185,4809.41354168171
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,,,,,4829.174166560173,4270.243571383612,3795.9570238209903,4419.788194475903
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,,,,,2107.995833331719,3560.537499997765,3174.995833334358,3507.2187500023283
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,,,,,2845.486388888889,3151.167708333271,3259.8701388888676,7657.96805555539
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,,,,,3271.0537500004866,3498.235000000859,3783.4208134922333,4962.824583332404
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,,,,,3450.9772727248346,2502.454545450632,2922.649999996478,5273.645454543558
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,,,,,5347.868035667272,5302.688068221362,4903.726140939896,7010.665555662631
A2M183CETUMR96,rec,10-2,10.0,2000.0,,,,,4207.770031565965,3348.5073232321947,11329.834943181919,6583.237083332675
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,,,,,3914.3678472379634,3738.5739582814276,6023.571874993853,4325.596230141464
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,,,,,3321.694810606919,3744.598295454798,4448.633863635843,6477.175189393586
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,,,,,2055.168333326839,4181.737777776095,3731.817619061535,4479.448750005673
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,,,,,5351.803571428572,5161.041666666667,4783.992857142857,4777.196428571428
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,,,,,5686.422500039637,6153.281666641435,4879.265000060201,4291.793750016019
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,,,,,2371.325,2282.8857142857146,2088.366666666667,3093.233333333333
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,,,,,4544.878787878788,4389.0,6860.3015873015875,4593.875
A33X52IN60MSOE,rec,10-2,10.0,2000.0,,,,,5241.661666665723,6715.422142859441,10026.582142859803,14009.943749998165
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,,,,,4490.031666669415,4762.779999996059,5533.462619043485,10159.215922616186
A349BBTU7L597J,prim,10-2,10.0,2000.0,,,,,9034.874999955297,5731.999999925494,7145.200000286102,5396.850000143051
