subject,strategy,condition,l_length,pres_rate,ncr,total_irt,irt_h1,irt_h2,irt_delta,ncr_bin
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,5,23298.81666668256,3697.633333341529,16334.766666670641,12637.133333329111,2
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,6,33665.92916666708,15169.870833332612,18496.058333334473,3326.1875000018626,3
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,7,33866.33874999955,9150.55374999633,20192.84250000613,11042.288750009797,3
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,8,35443.29999998212,19236.40000000596,16206.899999976158,-3029.5000000298023,4
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,4,52357.800000000745,31575.200000001118,20782.599999999627,-10792.60000000149,2
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,5,35696.74444401926,5677.394444359674,21092.599999831782,15415.205555472108,2
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,6,35379.64166676268,18372.36458333675,17007.27708342594,-1365.0874999108105,3
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,7,49892.47500013397,11996.629166772202,30612.616666764876,18615.987499992672,3
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,8,46436.09999996284,23631.3874999315,22804.71250003134,-826.6749999001631,4
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,9,36554.63333333222,12823.00000000062,17859.599999999005,5036.599999998386,4
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,6,24336.700001239777,15311.250000953674,9025.450000286102,-6285.800000667572,3
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,7,29317.416666269302,10395.379166682562,14766.504166483879,4371.124999801317,3
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,8,29560.450000504654,15929.002083261807,13631.447917242846,-2297.554166018963,4
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,9,32725.19375048081,12627.239583790302,16607.602083345253,3980.362499554952,4
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,10,35198.31666700046,19295.685416618984,15902.63125038147,-3393.054166237513,5
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,3,12509.224999997765,0.0,6334.708333337058,6334.708333337058,1
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,4,22686.999999995034,16660.93333332903,6026.066666666004,-10634.866666663025,2
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,5,15112.31875000149,4159.812500001863,7211.962500002235,3052.1500000003725,2
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,6,20229.922916653257,12698.350000000248,7531.572916653007,-5166.7770833472405,3
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,7,19544.34999997914,6351.0999999940395,9515.599999964237,3164.4999999701977,3
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,8,18462.200000047684,9134.800000011921,9327.400000035763,192.60000002384186,4
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,3,26101.39999985695,0.0,1940.5999999046326,1940.5999999046326,1
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,4,18451.80416662494,11402.683333287638,7049.120833337306,-4353.562499950331,2
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,5,24127.099999999005,6342.216666703423,13256.439583311478,6914.222916608056,2
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,6,31284.191249996424,14588.194999964038,16695.996250032385,2107.801250068347,3
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,7,34902.344444672264,9341.844444433847,20191.233333481683,10849.388889047836,3
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,8,33619.10000002384,21417.050000071526,12202.049999952316,-9215.00000011921,4
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,9,34394.333333333336,15562.433333317438,14527.633333365122,-1034.7999999523163,4
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,3,6522.0,0.0,4479.0,4479.0,1
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,4,10177.333333333334,5106.333333333333,5071.0,-35.333333333333336,2
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,5,12789.216666666667,2309.6,6859.516666666666,4549.916666666667,2
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,6,13689.070833333333,8068.7458333333325,5620.325,-2448.420833333333,3
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,7,17182.633333333335,5635.216666666667,9754.666666666666,4119.45,3
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,4,3499.699999999255,2234.5,1265.199999999255,-969.3000000007451,2
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,5,16632.70000000205,1884.1000000005588,13474.700000001118,11590.600000000559,2
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,6,17949.85000000149,4754.625,13195.22500000149,8440.60000000149,3
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,7,20563.466666666012,5437.44999999941,13838.98333333324,8401.533333333831,3
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,8,20749.283333333882,8259.772222222811,12489.51111111107,4229.738888888258,4
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,9,18752.812499999458,4982.449999999488,12257.404166666558,7274.95416666707,4
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,10,15548.416666667055,6548.300000000358,9000.116666666698,2451.8166666663406,5
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,3,22427.277778095668,0.0,12993.844444804721,12993.844444804721,1
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,4,22282.362500031788,14397.316666603088,7885.0458334287005,-6512.270833174388,2
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,5,30996.389583130676,6874.135416527589,17310.110416551433,10435.975000023842,2
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,6,33086.327778339386,18891.26111125946,14195.066667079926,-4696.194444179535,3
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,7,35378.30000114441,11545.700000762938,18503.800000190735,6958.099999427797,3
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,3,14671.56041669473,0.0,6061.7104166590925,6061.7104166590925,1
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,4,19354.52916670777,13263.785416670766,6090.743750037004,-7173.0416666337605,2
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,5,17868.324999690056,3208.774999886751,10795.94999974966,7587.174999862909,2
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,6,18273.049999952316,11096.399999856949,7176.650000095367,-3919.7499997615814,3
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,5,18060.25,1104.5,15197.0,14092.5,2
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,6,23081.100000000002,7330.45,15750.65,8420.199999999999,3
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,7,36641.6,3337.3916666666664,31155.258333333335,27817.866666666665,3
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,8,37497.10416666667,8634.625,28862.479166666668,20227.854166666668,4
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,9,31421.5,4187.0,25641.0,21454.0,4
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,3,15008.149999856949,0.0,11756.949999928474,11756.949999928474,1
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,4,10895.087499946356,6691.612499952316,4203.4749999940395,-2488.1374999582767,2
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,5,13672.125,3614.275000035763,6595.712499946356,2981.437499910593,2
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,6,13902.01666688919,8546.583333492279,5355.433333396912,-3191.1500000953674,3
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,7,17452.400000095367,6403.799999952316,8717.799999952316,2314.0,3
A1NG504QI5LI62,prim,10-2,10.0,2000.0,3,22294.0,0.0,4726.0,4726.0,1
A1NG504QI5LI62,prim,10-2,10.0,2000.0,4,11793.0,8199.0,3594.0,-4605.0,2
A1NG504QI5LI62,prim,10-2,10.0,2000.0,5,29597.125,7100.375,17923.75,10823.375,2
A1NG504QI5LI62,prim,10-2,10.0,2000.0,6,32815.222222222226,23685.833333333332,9129.388888888889,-14556.444444444445,3
A1NG504QI5LI62,prim,10-2,10.0,2000.0,7,31165.625,10714.5625,14806.625,4092.0625,3
A1NG504QI5LI62,prim,10-2,10.0,2000.0,8,37273.3,22886.85,14386.45,-8500.4,4
A1NG504QI5LI62,prim,10-2,10.0,2000.0,9,45298.0,20146.5,22346.0,2199.5,4
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,3,21121.222222222223,0.0,6808.111111111112,6808.111111111112,1
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,4,23409.225,14695.675,8713.55,-5982.125,2
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,5,24554.125,6451.375,14061.5,7610.125,2
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,6,29496.0,11354.5,18141.5,6787.0,3
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,7,29964.0,15714.0,11293.0,-4421.0,3
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,3,23909.716666708387,0.0,9109.133333365124,9109.133333365124,1
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,4,24427.549999922514,14823.849999964235,9603.699999958277,-5220.150000005958,2
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,5,30739.56666660309,7219.916666636865,19547.066666652758,12327.150000015894,2
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,6,15332.249999999996,8831.749999999998,6500.499999999998,-2331.25,3
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,4,13045.800000009749,7577.86666667182,5467.933333337928,-2109.933333333892,2
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,5,20464.237500004936,3635.337500001071,13470.11250000191,9834.775000000838,2
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,6,19980.549999997485,8454.424999998882,11526.124999998603,3071.6999999997206,3
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,7,16832.5,4291.800000000745,8255.89999999851,3964.099999997765,3
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,4,16483.916666666668,6566.822222222316,9917.094444444352,3350.272222222036,2
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,5,19983.312499999778,2956.0291666667713,12385.970833333064,9429.941666666293,2
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,6,31037.32083333334,9978.766666666508,21058.554166666832,11079.787500000326,3
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,7,31932.71666666682,5437.21458333347,22665.377083333235,17228.162499999766,3
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,8,38995.30999999987,12642.509999999776,26352.800000000094,13710.290000000317,4
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,10,49931.50000000093,10515.300000000745,39416.200000000186,28900.89999999944,5
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,3,23845.0,0.0,10604.666666666666,10604.666666666666,1
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,4,28806.833333333332,14196.555555555557,14610.277777777776,413.722222222222,2
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,5,27714.208333333336,5863.041666666667,11702.375,5839.333333333334,2
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,6,31401.666666666664,19968.916666666668,11432.75,-8536.166666666666,3
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,7,32487.5,11256.0,15151.875,3895.875,3
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,8,32016.5,12909.0,19107.5,6198.5,4
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,9,32584.0,11592.0,18102.0,6510.0,4
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,10,36441.0,21774.0,14667.0,-7107.0,5
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,4,11804.999999983856,7502.116666654746,4302.883333329111,-3199.2333333256342,2
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,5,14493.599999992177,2944.4499999899417,8383.850000014529,5439.400000024587,2
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,6,17430.38750001043,8492.42083333681,8937.966666673621,445.54583333681023,3
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,7,27432.333333322156,4849.366666660644,20222.39583333892,15373.029166678278,3
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,8,30055.43749999767,14632.549999998882,15422.88749999879,790.3374999999069,4
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,9,30937.599999964237,6356.5,22774.599999964237,16418.099999964237,4
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,10,55107.000000059605,13823.200000047684,41283.80000001192,27460.599999964237,5
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,3,11051.300000000745,0.0,5094.60000000149,5094.60000000149,1
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,4,13567.52499999851,7528.000000011176,6039.524999987334,-1488.4750000238419,2
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,5,15397.258333262987,2476.183333348483,10720.89166657968,8244.7083332312,2
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,6,14862.577619037378,7695.554642855882,7167.022976181496,-528.531666674385,3
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,7,19609.35833332439,4254.183333329856,12945.566666662693,8691.383333332837,3
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,3,15727.0,0.0,14237.0,14237.0,1
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,4,9492.0,7577.0,1915.0,-5662.0,2
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,5,16912.5,4110.0,9088.0,4978.0,2
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,6,19800.0625,9657.625,10142.4375,484.8125,3
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,7,24118.083333333332,6535.333333333333,13295.833333333334,6760.5,3
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,8,19678.566666666666,8902.15,10776.416666666668,1874.2666666666667,4
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,9,20766.625,9899.375,8329.5,-1569.875,4
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,3,14404.299999892712,0.0,9745.199999988079,9745.199999988079,1
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,4,20557.225000028808,15656.675000006953,4900.550000021855,-10756.124999985099,2
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,5,23856.883333414793,7894.8958333606515,10867.633333365122,2972.73750000447,2
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,6,23300.43749995902,14691.643749982119,8608.793749976903,-6082.850000005215,3
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,7,30691.53750012318,12156.341666698456,14569.30833343665,2412.9666667381925,3
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,8,32265.61249994735,19053.549999947347,13212.0625,-5841.487499947349,4
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,9,38729.875,14448.325000017881,14906.400000035763,458.0750000178823,4
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,3,26194.25,0.0,12626.5,12626.5,1
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,4,39312.5,28198.0,11114.5,-17083.5,2
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,5,32445.770833333336,6081.208333333333,19101.520833333336,13020.3125,2
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,6,35874.50833333333,23325.991666666665,12548.516666666666,-10777.475,3
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,7,39738.1875,11555.3125,23001.75,11446.4375,3
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,8,38496.666666666664,20237.333333333332,18259.333333333332,-1978.0,4
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,3,11613.555555555555,0.0,4404.444444444444,4404.444444444444,1
