subject,strategy,condition,l_length,pres_rate,ln_39,ln_38,ln_37,ln_36,ln_35,ln_34,ln_33,ln_32,ln_31,ln_30,ln_29,ln_28,ln_27,ln_26,ln_25,ln_24,ln_23,ln_22,ln_21,ln_20,ln_19,ln_18,ln_17,ln_16,ln_15,ln_14,ln_13,ln_12,ln_11,ln_10,ln_9,ln_8,ln_7,ln_6,ln_5,ln_4,ln_3,ln_2,ln_1,lp_1,lp_2,lp_3,lp_4,lp_5,lp_6,lp_7,lp_8,lp_9,lp_10,lp_11,lp_12,lp_13,lp_14,lp_15,lp_16,lp_17,lp_18,lp_19,lp_20,lp_21,lp_22,lp_23,lp_24,lp_25,lp_26,lp_27,lp_28,lp_29,lp_30,lp_31,lp_32,lp_33,lp_34,lp_35,lp_36,lp_37,lp_38,lp_39
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3958333333333333,0.10555555555555556,0.21458333333333335,0.13669590643274854,0.22624269005847952,0.17457264957264956,0.09285714285714286,0.22412464985994396,0.2589285714285714,0.26609848484848486,0.23406593406593407,0.10714285714285714,0.0625,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.9190972222222222,0.062075687302547554,0.014705882352941176,0.029411764705882353,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950980392156863,0.005681818181818182,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1783008658008658,0.27731990231990233,0.4903846153846154,0.32532467532467535,0.10795454545454546,0.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0625,0.08333333333333333,0.1501082251082251,0.13958333333333334,0.14384920634920634,0.15448232323232325,0.35099681020733653,0.3698062558356676,0.20277777777777778,0.08134920634920634,0.022727272727272728,0.15000000000000002,0.0,0.05,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4444444444444444,0.0,0.1,0.275,0.21666666666666667,0.10416666666666666,0.09615384615384616,0.13854166666666667,0.3603973168214654,0.18288690476190475,0.17379679144385027,0.16022727272727272,0.21785714285714286,0.20833333333333331,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44034090909090906,0.04166666666666667,0.13180995475113122,0.07186234817813765,0.14546783625730994,0.06794871794871796,0.15359311740890688,0.11279264214046823,0.18929181521093286,0.8014173326673326,0.23999309868875085,0.09772727272727273,0.125,0.1111111111111111,0.05555555555555555,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.125,0.08333333333333333,0.0625,0.03125,0.16744505494505496,0.08134920634920634,0.18636363636363634,0.4126984126984127,0.1884920634920635,0.2,0.1875,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.08333333333333333,0.3,0.0875,0.11458333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.4464285714285714,0.28125,0.22916666666666666,0.09203296703296704,0.2220238095238095,0.2857420357420357,0.2796287046287046,0.1540204678362573,0.14632352941176469,0.2627788877788878,0.08391608391608392,0.041666666666666664,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
