subject,strategy,condition,l_length,pres_rate,crp_p1,crp_n1,crp_delta
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.23784897025171625,0.12860983981693364,0.10923913043478262
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.889985994397759,0.016666666666666666,0.8733193277310924
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.975,0.0,0.975
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.4527777777777778,0.1388888888888889,0.3138888888888889
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.38969017094017094,0.2573450854700855,0.13234508547008547
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.4359897828863346,0.12024265644955301,0.3157471264367816
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.8358232181761593,0.08994708994708994,0.7458761282290693
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.48627450980392156,0.08915441176470588,0.39712009803921566
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.3188061938061938,0.07904595404595405,0.23976023976023975
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.40477729885057473,0.22013649425287357,0.18464080459770116
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.5158730158730158,0.07936507936507936,0.4365079365079365
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.9174208144796381,0.0,0.9174208144796381
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.7183080808080808,0.022727272727272728,0.6955808080808081
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.6448863636363636,0.0,0.6448863636363636
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.4769736842105263,0.1513157894736842,0.32565789473684215
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.5729166666666666,0.1388888888888889,0.4340277777777778
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.47000773993808054,0.10976890756302521,0.3602388323750553
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.8122524928774928,0.10585470085470086,0.706397792022792
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.4426207983193277,0.06607142857142857,0.37654936974789915
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.08143172616856828,0.11556864188443136,-0.03413691571586308
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,0.7684873949579831,0.030357142857142857,0.7381302521008403
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,0.5547944786402184,0.19831067438417013,0.3564838042560482
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,0.37959558823529416,0.11948529411764706,0.2601102941176471
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,0.6111111111111112,0.07256944444444444,0.5385416666666667
A27T2Z568L69U1,prim,10-2,10.0,2000.0,0.7470843301435407,0.011363636363636364,0.7357206937799043
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,0.3184217743041272,0.13453996983408748,0.18388180447003977
A2BREH6STESM0G,rec,10-2,10.0,2000.0,0.24492438675875208,0.28171886163372234,-0.03679447487497024
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.8256410256410256,0.019230769230769232,0.8064102564102564
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.6943977591036414,0.2563725490196078,0.4380252100840336
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.6329753484501768,0.15291241938839192,0.48006292906178494
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.6705043859649122,0.19221491228070176,0.47828947368421054
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.2638888888888889,0.24305555555555555,0.020833333333333322
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.424812030075188,0.12406015037593984,0.3007518796992481
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.6934523809523809,0.08392857142857142,0.6095238095238096
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.8021827470103332,0.09447927551375827,0.707703471496575
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.4980978260869565,0.22327898550724637,0.2748188405797102
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.4851190476190476,0.18986742424242425,0.29525162337662336
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.6212121212121212,0.19480519480519481,0.42640692640692635
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.5404761904761906,0.3416666666666667,0.19880952380952382
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.5228174603174603,0.0,0.5228174603174603
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.48863636363636365,0.18790584415584416,0.3007305194805195
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.7274247491638797,0.06521739130434782,0.6622073578595318
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.3055555555555556,0.08333333333333333,0.2222222222222222
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.3167119565217391,0.16743012422360248,0.14928183229813663
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.4155122655122655,0.14285714285714285,0.27265512265512265
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.422522349936143,0.20982530560116766,0.21269704433497535
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.384375,0.10104166666666667,0.2833333333333333
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.46456637991164845,0.14872994652406418,0.31583643338758427
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.8913752913752914,0.0,0.8913752913752914
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.8107142857142857,0.034523809523809526,0.7761904761904762
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.5128500726326813,0.09581179689875342,0.4170382757339279
