subject,strategy,condition,l_length,pres_rate,serial_position,ln_39,ln_38,ln_37,ln_36,ln_35,ln_34,ln_33,ln_32,ln_31,ln_30,ln_29,ln_28,ln_27,ln_26,ln_25,ln_24,ln_23,ln_22,ln_21,ln_20,ln_19,ln_18,ln_17,ln_16,ln_15,ln_14,ln_13,ln_12,ln_11,ln_10,ln_9,ln_8,ln_7,ln_6,ln_5,ln_4,ln_3,ln_2,ln_1,lp_1,lp_2,lp_3,lp_4,lp_5,lp_6,lp_7,lp_8,lp_9,lp_10,lp_11,lp_12,lp_13,lp_14,lp_15,lp_16,lp_17,lp_18,lp_19,lp_20,lp_21,lp_22,lp_23,lp_24,lp_25,lp_26,lp_27,lp_28,lp_29,lp_30,lp_31,lp_32,lp_33,lp_34,lp_35,lp_36,lp_37,lp_38,lp_39
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.1125,0.22916666666666666,0.2583333333333333,0.08333333333333333,0.19444444444444442,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.14583333333333331,0.08333333333333333,0.1125,0.25,0.20833333333333331,0.0625,0.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.05,0.09166666666666667,0.16666666666666666,0.5916666666666667,0.29166666666666663,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.041666666666666664,0.2333333333333333,0.3214285714285714,0.39999999999999997,0.0625,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12142857142857143,0.08333333333333333,0.21250000000000002,0.08333333333333333,0.2791666666666667,0.20833333333333331,0.2708333333333333,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21666666666666667,0.08333333333333333,0.3125,0.05,0.05,0.16666666666666666,0.4583333333333333,0.08333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11805555555555555,0.13541666666666666,0.041666666666666664,0.1875,0.19583333333333333,0.13392857142857142,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06349206349206349,0.18253968253968253,0.08333333333333333,0.027777777777777776,0.16865079365079363,0.13541666666666666,0.15476190476190477,0.7222222222222222,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.07083333333333333,0.12272727272727274,0.03571428571428571,0.022727272727272728,0.0,0.16904761904761906,0.4375,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04772727272727273,0.020833333333333332,0.08333333333333333,0.06249999999999999,0.0,0.10795454545454546,0.06628787878787878,0.08901515151515152,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
