subject,strategy,condition,l_length,pres_rate,mwr
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,6.062499999999999
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,6.312499999999999
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,8.5
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,4.729166666666667
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,5.625
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,5.791666666666667
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,8.458333333333334
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,4.479166666666666
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,3.0208333333333335
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,7.145833333333333
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,4.916666666666666
A1NG504QI5LI62,prim,10-2,10.0,2000.0,6.916666666666667
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,3.375
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,3.75
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,4.916666666666667
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,6.104166666666667
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,5.5625
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,6.791666666666667
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,5.729166666666666
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,7.0625
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,6.083333333333333
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,5.854166666666666
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,4.895833333333333
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,6.145833333333333
A27T2Z568L69U1,prim,10-2,10.0,2000.0,6.354166666666667
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,5.854166666666667
A2BREH6STESM0G,rec,10-2,10.0,2000.0,3.916666666666667
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,7.437499999999999
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,5.666666666666667
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,8.854166666666668
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,5.9375
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,5.3125
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,5.791666666666666
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,7.104166666666667
A2M183CETUMR96,rec,10-2,10.0,2000.0,7.291666666666667
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,8.125
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,6.729166666666667
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,7.666666666666667
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,5.6875
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,3.7291666666666665
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,7.958333333333334
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,6.75
A33X52IN60MSOE,rec,10-2,10.0,2000.0,5.375
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,6.229166666666667
A349BBTU7L597J,prim,10-2,10.0,2000.0,2.6249999999999996
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,9.041666666666666
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,5.125
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,5.145833333333333
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,8.145833333333334
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,5.395833333333333
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,5.395833333333334
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,5.9375
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,6.4375
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,5.055555555555556
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,3.958333333333333
A489K1IFOM4JW,prim,10-2,10.0,2000.0,6.479166666666666
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,7.083333333333334
A55MEA9LQASZH,rec,10-2,10.0,2000.0,5.854166666666667
A5P12YJP805RG,rec,10-2,10.0,2000.0,5.229166666666667
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,8.375
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,2.75
AEP8U373W5Q54,prim,10-2,10.0,2000.0,7.395833333333334
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,6.354166666666667
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,6.145833333333334
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,4.041666666666667
