subject,strategy,condition,l_length,pres_rate,r1_label,mwr
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,mwr_prim,5.0285714285714285
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,mwr_prim,5.722222222222221
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,mwr_prim,8.833333333333334
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,mwr_prim,3.7625
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,mwr_prim,4.690476190476191
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,mwr_prim,5.611111111111112
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,mwr_prim,7.6499999999999995
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,mwr_prim,7.194444444444444
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,mwr_prim,6.902777777777778
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,mwr_prim,7.492424242424242
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,mwr_prim,4.0
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,mwr_prim,6.9375
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,mwr_prim,6.214285714285714
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,mwr_prim,7.916666666666666
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,mwr_prim,5.896428571428571
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,mwr_prim,5.133333333333333
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,mwr_prim,5.1
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,mwr_prim,5.5555555555555545
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,mwr_prim,4.444444444444444
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,mwr_prim,2.992063492063492
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,mwr_prim,6.040404040404041
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,mwr_prim,6.5
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,mwr_prim,8.972222222222221
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,mwr_prim,6.75
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,mwr_prim,6.402777777777778
A1OW27AZS122X2,ns,20-1,20.0,1000.0,mwr_prim,6.875
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,mwr_prim,9.916666666666666
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,mwr_prim,7.3999999999999995
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,mwr_prim,5.266666666666667
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,mwr_prim,6.355555555555556
A2QY653X9531JP,ns,20-1,20.0,1000.0,mwr_prim,7.055555555555556
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,mwr_prim,5.583333333333333
A39R5EBK7W916X,ns,20-1,20.0,1000.0,mwr_prim,7.5
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,mwr_prim,6.132142857142858
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,mwr_prim,7.9750000000000005
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,mwr_prim,3.4285714285714284
A50UY1556VDIA,ns,20-1,20.0,1000.0,mwr_prim,4.236607142857142
AJD90361AJO80,ns,20-1,20.0,1000.0,mwr_prim,5.75
AK52RXEJKR81A,ns,20-1,20.0,1000.0,mwr_prim,7.8952380952380965
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,mwr_prim,6.9563492063492065
