subject,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A10HW8JXM17XLD,10-2,10.0,2000.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,10-2,10.0,2000.0,0.5416666666666666,0.10416666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,10-2,10.0,2000.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,10-2,10.0,2000.0,0.2708333333333333,0.10416666666666666,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664,0.0,0.22916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,10-2,10.0,2000.0,0.125,0.10416666666666666,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.0625,0.0,0.020833333333333332,0.020833333333333332,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,10-2,10.0,2000.0,0.041666666666666664,0.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.125,0.41666666666666663,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,10-2,10.0,2000.0,0.0,0.0,0.0,0.125,0.3125,0.20833333333333331,0.27083333333333337,0.020833333333333332,0.020833333333333332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,10-2,10.0,2000.0,0.375,0.14583333333333331,0.08333333333333333,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0,0.0625,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,10-2,10.0,2000.0,0.14583333333333334,0.1875,0.10416666666666666,0.0,0.020833333333333332,0.020833333333333332,0.0,0.041666666666666664,0.08333333333333333,0.10416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333331,0.1875,0.6458333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,10-2,10.0,2000.0,0.375,0.20833333333333331,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,10-2,10.0,2000.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,10-2,10.0,2000.0,0.3125,0.125,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,10-2,10.0,2000.0,0.303030303030303,0.17424242424242425,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,10-2,10.0,2000.0,0.20833333333333331,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.25,0.125,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,10-2,10.0,2000.0,0.0,0.0,0.0,0.0625,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.3125,0.1875,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,10-2,10.0,2000.0,0.25,0.08333333333333333,0.020833333333333332,0.0625,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0,0.0625,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666667,0.45833333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,10-2,10.0,2000.0,0.2916666666666667,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.041666666666666664,0.041666666666666664,0.5416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
