condition,l_length,pres_rate,serial_position,pearson_r,p_value
10-2,10.0,2000.0,1,0.2911281148134954,0.014480746689282556
10-2,10.0,2000.0,2,-0.17982247044283792,0.13633337996604594
10-2,10.0,2000.0,3,-0.1566687477668725,0.19525194097603044
10-2,10.0,2000.0,4,-0.044076528246132445,0.7171227154844612
10-2,10.0,2000.0,5,0.17046409805213641,0.15828148133809367
10-2,10.0,2000.0,6,0.30419507507871274,0.010460071330016495
10-2,10.0,2000.0,7,0.2850985814161064,0.016746179721022394
10-2,10.0,2000.0,8,0.3497869270582379,0.002995398300360176
10-2,10.0,2000.0,9,0.5169430664197291,4.6121931217821515e-06
10-2,10.0,2000.0,10,0.3740957884003109,0.0014215225368536329
20-1,20.0,1000.0,1,0.20763313497557537,0.08230189275541576
20-1,20.0,1000.0,2,0.14055802567314007,0.24234100016894927
20-1,20.0,1000.0,3,0.10151356926147359,0.3995837780226726
20-1,20.0,1000.0,4,-0.09660829005679494,0.42286309651783
20-1,20.0,1000.0,5,-0.07954356645065624,0.5096420542893342
20-1,20.0,1000.0,6,-0.12323649227998845,0.30588881411627167
20-1,20.0,1000.0,7,-0.1098705643251183,0.3617062788969064
20-1,20.0,1000.0,8,0.05061939839058817,0.675051905640915
20-1,20.0,1000.0,9,-0.12541346773469955,0.29735759141230306
20-1,20.0,1000.0,10,0.046854533501526505,0.6980095359600537
20-1,20.0,1000.0,11,-0.023281423113165178,0.8471807822169254
20-1,20.0,1000.0,12,-0.02272360964418216,0.8507997081288493
20-1,20.0,1000.0,13,-0.19845611592807968,0.0970984664352622
20-1,20.0,1000.0,14,-0.17708737810816805,0.13957300387940627
20-1,20.0,1000.0,15,-0.0725911635892998,0.547439428965634
20-1,20.0,1000.0,16,0.2088516976238795,0.08047949138278494
20-1,20.0,1000.0,17,0.3044766622396157,0.009833276304746055
20-1,20.0,1000.0,18,0.35764015748494316,0.0021986332905447412
20-1,20.0,1000.0,19,0.5292424518804498,2.083022380434528e-06
20-1,20.0,1000.0,20,0.5319817656111481,1.8030964502082557e-06
15-2,15.0,2000.0,1,0.26511124874677927,0.010223064558426594
15-2,15.0,2000.0,2,0.021752607356269344,0.8360396310292526
15-2,15.0,2000.0,3,-0.08139563536564101,0.4379715870173896
15-2,15.0,2000.0,4,-0.09956334549239884,0.3423509691515629
15-2,15.0,2000.0,5,-0.1339686709062808,0.2004559351038867
15-2,15.0,2000.0,6,-0.06407659816676077,0.5417276494258868
15-2,15.0,2000.0,7,-0.13264184056686282,0.20499081868942923
15-2,15.0,2000.0,8,-0.16769062573804344,0.10812511366794476
15-2,15.0,2000.0,9,-0.12348118544348594,0.23830929184879324
15-2,15.0,2000.0,10,-0.256470794496167,0.013082326503450491
15-2,15.0,2000.0,11,0.2180617681714838,0.035745520544680186
15-2,15.0,2000.0,12,0.1074242539340769,0.3054007753877929
15-2,15.0,2000.0,13,0.3518587326392466,0.0005429819862356821
15-2,15.0,2000.0,14,0.4413198480794881,9.515675697033676e-06
15-2,15.0,2000.0,15,0.43122114338719075,1.5944485539856674e-05
30-1,30.0,1000.0,1,0.2605611421020102,0.023008430479622075
30-1,30.0,1000.0,2,0.0519021454789689,0.6561218977726242
30-1,30.0,1000.0,3,-0.02876615032304343,0.805161831363558
30-1,30.0,1000.0,4,-0.023307461973549527,0.8415984043430611
30-1,30.0,1000.0,5,-0.00277211103535313,0.9810390833354787
30-1,30.0,1000.0,6,-0.12183848071211502,0.2944212355666083
