subject,strategy,condition,l_length,pres_rate,prop_wrong
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.0
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.3125
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.125
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.2708333333333333
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.2916666666666667
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.0625
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.041666666666666664
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.125
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.29166666666666663
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.020833333333333332
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.041666666666666664
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.29166666666666663
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.5
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.34090909090909094
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.0
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.020833333333333332
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.41666666666666663
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.0
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.020833333333333332
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.2765151515151515
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,0.20833333333333331
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,0.20833333333333331
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,0.0625
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,0.25
A27T2Z568L69U1,prim,10-2,10.0,2000.0,0.14583333333333331
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,0.25
A2BREH6STESM0G,rec,10-2,10.0,2000.0,0.3125
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.16666666666666666
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.32196969696969696
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.020833333333333332
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.020833333333333332
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.020833333333333332
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.0
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.12499999999999999
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.020833333333333332
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.020833333333333332
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.0
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.041666666666666664
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.3125
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.33333333333333337
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.14583333333333331
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.25
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.0
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.041666666666666664
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.3958333333333333
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.0
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.14583333333333334
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.020833333333333332
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.08333333333333333
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.08333333333333333
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.35416666666666663
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.25
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.1875
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,0.13888888888888887
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,0.6458333333333334
A489K1IFOM4JW,prim,10-2,10.0,2000.0,0.3125
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,0.0
A55MEA9LQASZH,rec,10-2,10.0,2000.0,0.125
A5P12YJP805RG,rec,10-2,10.0,2000.0,0.041666666666666664
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,0.0
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,0.19444444444444445
AEP8U373W5Q54,prim,10-2,10.0,2000.0,0.1875
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,0.22916666666666666
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,0.29166666666666663
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,0.625
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,0.3125
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,0.08333333333333333
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,0.2916666666666667
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,0.020833333333333332
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,0.375
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,0.020833333333333332
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,0.125
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,0.14583333333333331
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,0.0
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.16666666666666666
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.22916666666666666
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.08333333333333333
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.10416666666666666
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,0.0
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.041666666666666664
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.25
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.20833333333333331
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.22916666666666669
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,0.0
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.2916666666666667
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.041666666666666664
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,0.020833333333333332
A1OW27AZS122X2,ns,20-1,20.0,1000.0,0.0625
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,0.25
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,0.3428030303030303
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,0.041666666666666664
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,0.1875
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,0.020833333333333332
A26M997VYVK0E6,prim,20-1,20.0,1000.0,0.020833333333333332
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,0.020833333333333332
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,0.2916666666666667
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,0.20833333333333331
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,0.14583333333333331
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,0.0
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,0.3333333333333333
A2QY653X9531JP,ns,20-1,20.0,1000.0,0.2102272727272727
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,0.08333333333333333
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,0.14583333333333331
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,0.027777777777777776
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,0.13888888888888887
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,0.16666666666666666
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,0.020833333333333332
