subject,strategy,session,condition,l_length,pres_rate,serial_position,rt,min_rt
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,735.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,8875.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,2549.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,2.0,6219.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,4776.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,3453.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,3355.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,3.0,1362.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,0.0,True
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,1.0,2618.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,2.0,610.0,False
A102RSV009OCUW,prim,1,15-2,15.0,2000.0,4.0,13662.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,0.0,True
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,3323.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,15.0,19026.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,10917.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,4874.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,3653.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,2666.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,8133.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,19088.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,13.0,3811.0,False
A102RSV009OCUW,prim,2,15-2,15.0,2000.0,1.0,9086.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,2.0,0.0,True
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,1.0,11424.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,3.0,5079.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,1.0,1415.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,1.0,1276.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,1.0,1926.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,2.0,10270.0,False
A102RSV009OCUW,prim,3,15-2,15.0,2000.0,1.0,3614.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,2.0,0.0,True
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,3287.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,2.0,2652.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,2649.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,4717.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,3.0,5507.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,4072.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,2976.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,17285.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,15976.0,False
A102RSV009OCUW,prim,4,15-2,15.0,2000.0,1.0,8639.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,0.0,True
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,5320.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,4380.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,7342.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,6.0,7962.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,4356.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,6192.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,39.0,9567.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,39.0,5924.0,False
