subject,strategy,session,condition,l_length,pres_rate,serial_position,rt,min_rt
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,0.0,True
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,5320.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,4380.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,7342.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,6.0,7962.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,4356.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,6192.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,39.0,9567.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,39.0,5924.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,4533.0,False
A102WSFN62OS6I,ns,1,40-1,40.0,1000.0,1.0,3985.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,40.0,5465.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,1.0,4194.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,1.0,17478.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,2.0,1868.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,40.0,48425.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,2.0,19603.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,40.0,559.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,1.0,1934.0,False
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,36.0,0.0,True
A102WSFN62OS6I,ns,2,40-1,40.0,1000.0,9.0,371.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,37.0,0.0,True
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,39.0,3067.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,1.0,2895.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,39.0,3605.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,38.0,2193.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,37.0,2281.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,36.0,3906.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,40.0,8230.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,40.0,3237.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,37.0,6875.0,False
A102WSFN62OS6I,ns,3,40-1,40.0,1000.0,38.0,7253.0,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,1.0,0.0,True
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,1.0,1911.3000001907349,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,19.0,2109.300000190735,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,17.0,2059.800000190735,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,17.0,772.9000000953674,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,20.0,1949.3000001907349,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,20.0,1047.900000333786,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,18.0,1996.9000000953674,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,19.0,1762.0000002384186,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,20.0,3245.300000190735,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,20.0,1732.3000001907349,False
A10JXOU89D5RXR,ns,1,20-1,20.0,1000.0,20.0,2543.100000143051,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,1.0,483.2000000476837,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,19.0,2010.4000000953674,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,1.0,201.00000023841858,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,14.0,375.40000009536743,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,16.0,1301.4000000953674,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,16.0,2355.2000002861023,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,19.0,97.59999990463257,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,18.0,919.1000001430511,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,15.0,231.5,False
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,3.0,0.0,True
A10JXOU89D5RXR,ns,2,20-1,20.0,1000.0,20.0,1152.5,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,1.0,841.2999999523163,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,19.0,2611.5999999046326,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,20.0,1397.8999998569489,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,20.0,3816.9999997615814,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,19.0,1032.3999998569489,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,14.0,0.0,True
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,19.0,40.5,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,13.0,560.4999997615814,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,17.0,400.19999980926514,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,19.0,574.1999998092651,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,13.0,2900.699999809265,False
A10JXOU89D5RXR,ns,3,20-1,20.0,1000.0,14.0,381.2999997138977,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,17.0,0.0,True
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,18.0,2446.5999999046326,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,16.0,3228.899999856949,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,18.0,2737.399999856949,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,18.0,2113.899999856949,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,20.0,5837.399999856949,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,16.0,2253.7999997138977,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,18.0,1393.2000000476837,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,20.0,1063.3999998569489,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,19.0,591.4999997615814,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,18.0,2618.0999999046326,False
A10JXOU89D5RXR,ns,4,20-1,20.0,1000.0,18.0,3044.399999856949,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,2.0,2613.9000000059605,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,20.0,1333.7999999970198,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,8.0,2023.3999999910593,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,19.0,0.0,True
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,1.0,1295.8999999910593,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,1.0,24050.5,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,1.0,8314.09999999404,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,1.0,3452.2999999970198,False
A12LX24NC3FP2U,ns,1,20-2,20.0,2000.0,17.0,4251.899999991059,False
A12LX24NC3FP2U,ns,2,20-2,20.0,2000.0,15.0,248.19999998807907,False
