subject,strategy,condition,l_length,pres_rate,rt
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,9268.527083344912
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,6244.708750047069
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,4267.159090958942
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,3401.5386111212274
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,3374.277499970368
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,1985.3011363636363
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,698.3474999997221
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,5331.702525194245
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,6298.518779823575
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,1667.3200757575758
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,2007.1246213109202
A1NG504QI5LI62,prim,10-2,10.0,2000.0,5281.197817460317
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,6475.792857142857
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,10584.35833330618
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,1717.6541666690412
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,2159.4528409089353
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,5030.90625
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,2011.754166658502
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,1803.9884469394265
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,8842.479707792209
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,6822.257499992847
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,3873.541666666667
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,1830.753787878788
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,11255.985416666666
A27T2Z568L69U1,prim,10-2,10.0,2000.0,8771.190972222223
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,3206.7444444444445
A2BREH6STESM0G,rec,10-2,10.0,2000.0,4096.483958329919
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,4617.170151487023
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,2904.978914032079
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,1033.6999999996854
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,1862.6878787885084
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,2451.2827651489943
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,1954.2083333035307
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,8218.830908944568
A2M183CETUMR96,rec,10-2,10.0,2000.0,1401.121401514329
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,1423.888825753873
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,2137.508333332953
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,941.5958333006439
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,5593.089285714285
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,4176.691666658081
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,2235.6704545454545
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,6853.3
A33X52IN60MSOE,rec,10-2,10.0,2000.0,2130.6124999914323
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,2874.380303036704
A349BBTU7L597J,prim,10-2,10.0,2000.0,3580.429999984801
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,912.0354166415831
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,6971.599345215587
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,1975.405113604484
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,4163.801136363636
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,3020.9811363550753
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,4476.860795454546
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,5195.033124941774
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,10147.97750001525
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,3791.296296296296
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,2417.55
A489K1IFOM4JW,prim,10-2,10.0,2000.0,4016.8854166666665
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,1096.3958333730698
A55MEA9LQASZH,rec,10-2,10.0,2000.0,4264.856041658545
A5P12YJP805RG,rec,10-2,10.0,2000.0,967.1681818058996
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,1023.1291666645558
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,6527.255411255411
AEP8U373W5Q54,prim,10-2,10.0,2000.0,3862.8454219370697
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,4171.191666666667
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,4924.424829547217
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,3638.860000014305
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,4205.940277778957
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,4292.591477236722
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,5047.918876262626
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,920.9719696999952
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,3669.7696428596973
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,1520.2782196917317
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,5470.807954542983
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,5027.455050562367
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,2640.375
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,4387.841666666667
