subject,strategy,condition,l_length,pres_rate,r1_label,rt
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,rt_prim,2956.3826190625628
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,rt_prim,4309.755555477407
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,rt_prim,808.9666666664806
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,rt_prim,6749.162083466599
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,rt_prim,1494.716666668653
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,rt_prim,630.8833333075876
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,rt_prim,7483.362499999999
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,rt_prim,1916.8611111111113
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,rt_prim,1836.8600000007013
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,rt_prim,5909.612121005669
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,rt_prim,0.0
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,rt_prim,1675.0687499993949
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,rt_prim,9743.964285714286
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,rt_prim,2422.645833333333
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,rt_prim,8061.969642818837
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,rt_prim,2526.3599999308585
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,rt_prim,1009.839999973774
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,rt_prim,5136.594444380867
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,rt_prim,13269.904761904763
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,rt_prim,5666.56746031746
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,rt_prim,5375.035353535353
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,rt_prim,675.0055556032393
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,rt_prim,5853.791666666667
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,rt_prim,1843.8999999761581
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,rt_prim,5476.956944476399
A1OW27AZS122X2,ns,20-1,20.0,1000.0,rt_prim,11737.566666671384
