subject,strategy,condition,l_length,pres_rate,scl
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.5927845686859015
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.4781475266426177
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.4604671145188322
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.5184296766682521
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.523748924990268
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.5059566653937441
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.521508172733688
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.48376455237681526
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.4709916486505247
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.4865075413435917
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.4560912351667052
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.5186859196023211
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.562852359455286
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.5535191355879584
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.6277320544262601
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.5186760516941495
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.49633776891658976
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.5479109374644542
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.5445778447403073
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.5264322920593195
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,0.48714634243860444
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,0.46643657194539667
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,0.563983483897833
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,0.5132546618595616
A27T2Z568L69U1,prim,10-2,10.0,2000.0,0.5240556930285561
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,0.525017262521583
A2BREH6STESM0G,rec,10-2,10.0,2000.0,0.62079936479962
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.48058610832950754
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.45680639736314066
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.5131510383309523
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.5521699270473436
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.47350054181463713
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.5200597577757751
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.49066000301379675
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.528221055622763
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.5467609654397598
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.5152202928944204
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.5331688471651517
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.5631844882407395
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.4150512710236256
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.5154168214527479
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.5149275817187342
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.5004198716847527
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.5097963468169544
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.5396114131109349
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.5467878825969238
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.5116063189555464
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.5400726998101852
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.5088734774254356
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.46447434106461155
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.5685309102874353
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.5403479034779737
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.4937701408963727
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,0.5784087005726598
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,0.5211973126966112
