subject,strategy,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.45833333333333337,0.4166666666666667,0.5833333333333334,0.3541666666666667,0.5208333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.7916666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.5625,0.6666666666666666,0.6458333333333334,0.6666666666666666,0.7083333333333334,0.625,0.625,0.5833333333333334,0.5833333333333333,0.6458333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.875,0.7708333333333334,0.8541666666666666,0.875,0.8333333333333333,0.9166666666666666,0.8958333333333334,0.875,0.8333333333333333,0.7708333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.47916666666666663,0.5208333333333334,0.3958333333333333,0.5208333333333334,0.4791666666666667,0.375,0.4166666666666667,0.5,0.4791666666666667,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.5208333333333334,0.5625,0.5416666666666666,0.6458333333333334,0.4791666666666667,0.6666666666666666,0.5625,0.41666666666666663,0.625,0.6041666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.4375,0.375,0.5833333333333334,0.45833333333333337,0.5625,0.5625,0.625,0.5625,0.8333333333333333,0.7916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.7708333333333334,0.6875,0.8125,0.8541666666666666,0.7916666666666667,0.9166666666666666,0.9375,0.9166666666666667,0.8125,0.9583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.5625,0.33333333333333337,0.4583333333333333,0.5208333333333334,0.35416666666666663,0.4583333333333333,0.45833333333333337,0.3958333333333333,0.4791666666666667,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.1875,0.35416666666666663,0.41666666666666663,0.29166666666666663,0.29166666666666663,0.33333333333333337,0.3333333333333333,0.20833333333333334,0.3958333333333333,0.20833333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.8541666666666666,0.5833333333333333,0.6041666666666666,0.4791666666666667,0.625,0.5208333333333334,0.6875,0.8541666666666667,0.9583333333333333,0.9791666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
