subject,strategy,condition,l_length,pres_rate,tcl
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.6035518530328797
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.9290104515606747
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.9775602029006046
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.7773843478363568
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.7442700066137568
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.6280592757936507
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.8002975599962208
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.7374463070687028
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.6652342300556586
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.6664307268046107
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.7647102347883599
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.943744212962963
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.8734516132842026
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.7988607804232803
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.6733184523809523
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.7564717232379061
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.7273129616745688
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.8070809712773999
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.669118265993266
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.45697850904882154
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,0.8873745453042329
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,0.755460021129664
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,0.6954158399470899
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,0.7964777048761423
A27T2Z568L69U1,prim,10-2,10.0,2000.0,0.8613332302618016
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,0.6053076733534323
A2BREH6STESM0G,rec,10-2,10.0,2000.0,0.7105250045093795
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.9051445282974301
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.9264246257215007
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.7218864559712774
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.7417439649470899
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.7045147156084657
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.660946948223734
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.8071197089947091
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.7549335524140212
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.7282524329176114
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.7089317602040816
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.7574813692838247
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.9099307584776335
