subject,strategy,condition,l_length,pres_rate,r1_label,tcl
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,tcl_prim,0.7668588199168557
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,tcl_prim,0.7984512786596122
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,tcl_prim,0.7731983418367347
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,tcl_prim,0.7513833085317461
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,tcl_prim,0.6418558673469388
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,tcl_prim,0.724865520282187
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,tcl_prim,0.4717287060657596
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,tcl_prim,0.6390870260141094
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,tcl_prim,0.7028704018644495
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,tcl_prim,0.9157521161873841
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,tcl_prim,0.75
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,tcl_prim,0.6630353599773242
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,tcl_prim,0.9257837301587302
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,tcl_prim,0.7464802118764172
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,tcl_prim,0.8385428949357521
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,tcl_prim,0.7226135912698413
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,tcl_prim,0.8142996031746033
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,tcl_prim,0.8207291666666667
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,tcl_prim,0.5555772864701436
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,tcl_prim,0.7773699294532629
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,tcl_prim,0.873025352733686
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,tcl_prim,0.5849092515686237
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,tcl_prim,0.8484026615237954
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,tcl_prim,0.6874060303025639
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,tcl_prim,0.7167823011201534
A1OW27AZS122X2,ns,20-1,20.0,1000.0,tcl_prim,0.7285446485854983
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,tcl_prim,0.9244663758487726
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,tcl_prim,0.6686171583046584
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,tcl_prim,0.7998905161423544
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,tcl_prim,0.8100691647767166
A2QY653X9531JP,ns,20-1,20.0,1000.0,tcl_prim,0.5645379274961733
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,tcl_prim,0.8460155794867804
A39R5EBK7W916X,ns,20-1,20.0,1000.0,tcl_prim,0.8674433508446113
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,tcl_prim,0.8530801211321701
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,tcl_prim,0.8525323597895085
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,tcl_prim,0.7628991179805256
A50UY1556VDIA,ns,20-1,20.0,1000.0,tcl_prim,0.7853708207820165
AJD90361AJO80,ns,20-1,20.0,1000.0,tcl_prim,0.6848007263620774
AK52RXEJKR81A,ns,20-1,20.0,1000.0,tcl_prim,0.8513553139039375
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,tcl_prim,0.8594932389776231
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,tcl_prim,0.8050816977189089
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,tcl_prim,0.8103597084132799
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,tcl_prim,0.5475369868227011
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,tcl_prim,0.812489618273284
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,tcl_prim,0.8229969705803238
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,tcl_prim,0.8006868697742954
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,tcl_prim,0.826035081698347
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,tcl_prim,0.7583447784893362
A1WM3INNDW2776,ns,15-2,15.0,2000.0,tcl_prim,0.7524751892590434
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,tcl_prim,0.9371700692385216
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,tcl_prim,0.7732307833994342
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,tcl_prim,0.7473756892702205
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,tcl_prim,0.5496447561821446
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,tcl_prim,0.7021764681648941
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,tcl_prim,0.625392058063189
