"","Sum Sq","Df","F value","Pr(>F)","mse"
"(Intercept)",293647360.27891,1,73.3430844642346,2.33288726819043e-17,293647360.27891
"strategy",57538101.442915,2,7.18552659562678,0.000779819816682324,28769050.7214575
"rot",16483685.1666431,3,1.37235391492556,0.249472960987483,5494561.72221438
"l_length",40390556.5528727,4,2.52204548850796,0.0393441110534571,10097639.1382182
"pres_rate",12217979.8692007,1,3.05163420736347,0.080829781935361,12217979.8692007
"strategy:rot",525235515.695366,6,21.8643164115125,6.41063960298248e-25,87539252.6158943
"strategy:l_length",173089317.565022,8,5.40397520769912,9.64854523219957e-07,21636164.6956278
"strategy:pres_rate",37359196.3454981,2,4.66552583765995,0.00953063993228387,18679598.172749
"rot:l_length",11968199.2617168,12,0.249103961665436,0.995578023621761,997349.938476404
"rot:pres_rate",5251376.30076122,3,0.437204833278469,0.726404406558958,1750458.76692041
"Residuals",7070622159.41352,1766,NA,NA,4003749.80714243
