condition,l_length,pres_rate,serial_position,pearson_r,p_value,p_val_fdr
10-2,10.0,2000.0,1,0.2911281148134954,0.0144807466892825,0.35749854683592025
10-2,10.0,2000.0,2,-0.1798224704428379,0.1363333799660459,1.0
10-2,10.0,2000.0,3,-0.1566687477668725,0.1952519409760304,1.0
10-2,10.0,2000.0,4,-0.0440765282461324,0.7171227154844612,1.0
10-2,10.0,2000.0,5,0.1704640980521364,0.1582814813380936,1.0
10-2,10.0,2000.0,6,0.3041950750787127,0.0104600713300164,0.28692967140128256
10-2,10.0,2000.0,7,0.2850985814161064,0.0167461797210223,0.40009086261189086
10-2,10.0,2000.0,8,0.3497869270582379,0.0029953983003601,0.09645646065962461
10-2,10.0,2000.0,9,0.5169430664197291,4.612193121782152e-06,0.00028466286548332756
10-2,10.0,2000.0,10,0.3740957884003109,0.0014215225368536,0.05849056591303592
20-1,20.0,1000.0,1,0.2076331349755753,0.0823018927554157,1.0
20-1,20.0,1000.0,2,0.14055802567314,0.2423410001689492,1.0
20-1,20.0,1000.0,3,0.1015135692614735,0.3995837780226726,1.0
20-1,20.0,1000.0,4,-0.0966082900567949,0.42286309651783,1.0
20-1,20.0,1000.0,5,-0.0795435664506562,0.5096420542893342,1.0
20-1,20.0,1000.0,6,-0.1232364922799884,0.3058888141162716,1.0
20-1,20.0,1000.0,7,-0.1098705643251183,0.3617062788969064,1.0
20-1,20.0,1000.0,8,0.0506193983905881,0.675051905640915,1.0
20-1,20.0,1000.0,9,-0.1254134677346995,0.297357591412303,1.0
20-1,20.0,1000.0,10,0.0468545335015265,0.6980095359600537,1.0
20-1,20.0,1000.0,11,-0.0232814231131651,0.8471807822169254,1.0
20-1,20.0,1000.0,12,-0.0227236096441821,0.8507997081288493,1.0
20-1,20.0,1000.0,13,-0.1984561159280796,0.0970984664352622,1.0
20-1,20.0,1000.0,14,-0.177087378108168,0.1395730038794062,1.0
20-1,20.0,1000.0,15,-0.0725911635892998,0.547439428965634,1.0
20-1,20.0,1000.0,16,0.2088516976238795,0.0804794913827849,1.0
20-1,20.0,1000.0,17,0.3044766622396157,0.009833276304746,0.28692967140128256
20-1,20.0,1000.0,18,0.3576401574849431,0.0021986332905447,0.07401754863579234
20-1,20.0,1000.0,19,0.5292424518804498,2.083022380434528e-06,0.00015427605150703885
20-1,20.0,1000.0,20,0.5319817656111481,1.803096450208256e-06,0.00014838193420682805
15-2,15.0,2000.0,1,0.2651112487467792,0.0102230645584265,0.28692967140128256
15-2,15.0,2000.0,2,0.0217526073562693,0.8360396310292526,1.0
15-2,15.0,2000.0,3,-0.081395635365641,0.4379715870173896,1.0
15-2,15.0,2000.0,4,-0.0995633454923988,0.3423509691515629,1.0
15-2,15.0,2000.0,5,-0.1339686709062808,0.2004559351038867,1.0
15-2,15.0,2000.0,6,-0.0640765981667607,0.5417276494258868,1.0
15-2,15.0,2000.0,7,-0.1326418405668628,0.2049908186894292,1.0
15-2,15.0,2000.0,8,-0.1676906257380434,0.1081251136679447,1.0
15-2,15.0,2000.0,9,-0.1234811854434859,0.2383092918487932,1.0
15-2,15.0,2000.0,10,-0.256470794496167,0.0130823265034504,0.3341116083476392
15-2,15.0,2000.0,11,0.2180617681714838,0.0357455205446801,0.7786589644218853
15-2,15.0,2000.0,12,0.1074242539340769,0.3054007753877929,1.0
15-2,15.0,2000.0,13,0.3518587326392466,0.0005429819862356,0.02513448657066369
15-2,15.0,2000.0,14,0.4413198480794881,9.515675697033676e-06,0.000542126777583049
15-2,15.0,2000.0,15,0.4312211433871907,1.5944485539856674e-05,0.0008435038211457733
30-1,30.0,1000.0,1,0.2605611421020102,0.023008430479622,0.516389774011761
30-1,30.0,1000.0,2,0.0519021454789689,0.6561218977726242,1.0
30-1,30.0,1000.0,3,-0.0287661503230434,0.805161831363558,1.0
30-1,30.0,1000.0,4,-0.0233074619735495,0.8415984043430611,1.0
30-1,30.0,1000.0,5,-0.0027721110353531,0.9810390833354788,1.0
30-1,30.0,1000.0,6,-0.121838480712115,0.2944212355666083,1.0
30-1,30.0,1000.0,7,0.0434545025233811,0.7093528943558249,1.0
30-1,30.0,1000.0,8,0.1450208997916351,0.2113252272341008,1.0
30-1,30.0,1000.0,9,0.0780993384178816,0.5024781501879516,1.0
30-1,30.0,1000.0,10,0.0314608873427337,0.7873211263940798,1.0
30-1,30.0,1000.0,11,0.2051042735509035,0.0755070888141148,1.0
30-1,30.0,1000.0,12,0.135776660199772,0.2422098163255798,1.0
30-1,30.0,1000.0,13,-0.0142478601940642,0.9027742243035984,1.0
30-1,30.0,1000.0,14,-0.0549588477651544,0.6372578728344317,1.0
30-1,30.0,1000.0,15,0.1560578629099195,0.1782387883323085,1.0
30-1,30.0,1000.0,16,-0.0551353841867489,0.6361752544845081,1.0
30-1,30.0,1000.0,17,0.0336660388082507,0.7728022199003209,1.0
30-1,30.0,1000.0,18,0.0786924352345804,0.4992285594984753,1.0
30-1,30.0,1000.0,19,0.2038096199866527,0.0774109087733089,1.0
30-1,30.0,1000.0,20,-0.0559692226201626,0.6310720137547634,1.0
30-1,30.0,1000.0,21,-0.0141380311673029,0.9035200822615472,1.0
30-1,30.0,1000.0,22,0.1010371967217541,0.3851485318014523,1.0
30-1,30.0,1000.0,23,-0.1617809719594583,0.1626494796060642,1.0
30-1,30.0,1000.0,24,-0.075039759445847,0.5194140944810303,1.0
30-1,30.0,1000.0,25,-0.0197941803099966,0.8652316391711111,1.0
30-1,30.0,1000.0,26,0.270726088510192,0.018011798068838,0.4168805854990932
30-1,30.0,1000.0,27,0.4258155353579785,0.0001256151321436,0.006202335855398377
30-1,30.0,1000.0,28,0.6939570333842275,3.6467714574609606e-12,9.003095797883898e-10
30-1,30.0,1000.0,29,0.6554861992398807,1.3149118201001408e-10,2.4346762376440017e-08
30-1,30.0,1000.0,30,0.5059861487411732,3.1199957353899503e-06,0.00021007089911794934
20-2,20.0,2000.0,1,0.3569562927864129,0.0016684505835355,0.061815532262208046
20-2,20.0,2000.0,2,-0.0890886577404155,0.4472037740348973,1.0
20-2,20.0,2000.0,3,-0.1249422891443375,0.2854979253125367,1.0
